kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_depth,koi_duration,koi_prad,koi_sma,koi_teq,koi_model_snr
5868793,K04290.01,Kepler-1582 b,CONFIRMED,CANDIDATE,0.914,4.83809469,1544.0,1.096,0.79,0.0316,354.0,11.3
10063208,K04292.01,Kepler-1583 b,CONFIRMED,CANDIDATE,0.995,9.3281912,45.2,3.991,0.59,0.085,788.0,13.7
10669994,K04360.01,Kepler-1594 b,CONFIRMED,CANDIDATE,0.995,2.71603664,98.5,1.744,1.05,0.0396,1360.0,13.1
9183378,K04222.01,Kepler-1571 b,CONFIRMED,CANDIDATE,0.996,3.38557445,121.9,1.879,1.63,0.0432,1476.0,13.1
7596240,K04295.01,Kepler-1584 b,CONFIRMED,CANDIDATE,1.0,13.3997555,167.3,3.534,1.51,0.1168,886.0,13.6
7427764,K04364.01,Kepler-1595 b,CONFIRMED,CANDIDATE,1.0,4.56383697,201.8,2.271,1.22,0.051,980.0,9.9
8416523,K04441.01,Kepler-1604 b,CONFIRMED,CANDIDATE,0.996,0.341842017,285.6,1.1554,1.72,0.0089,2023.0,70.1
9872831,K04230.01,Kepler-1572 b,CONFIRMED,CANDIDATE,0.877,5.49548533,85.8,2.461,1.3,0.0614,1293.0,14.2
12306058,K02541.02,Kepler-391 c,CONFIRMED,CANDIDATE,0.995,20.4853893,89.5,10.229,3.6,0.153,1015.0,17.9
8507475,K04300.01,Kepler-1585 b,CONFIRMED,CANDIDATE,1.0,3.58273837,360.5,1.523,1.64,0.0445,1064.0,11.6
8773015,K04301.01,Kepler-1586 b,CONFIRMED,CANDIDATE,0.999,15.604841,73.4,4.543,1.57,0.1266,1013.0,15.3
11080405,K02442.02,Kepler-386 b,CONFIRMED,CANDIDATE,1.0,12.3101351,263.7,3.797,1.51,0.0968,651.0,12.9
11509504,K04232.01,Kepler-1573 b,CONFIRMED,CANDIDATE,0.998,2.61576515,120.4,2.777,1.06,0.0364,1379.0,15.1
11611275,K04234.01,Kepler-1574 b,CONFIRMED,CANDIDATE,0.999,6.94245216,160.8,3.491,1.34,0.0743,1003.0,14.7
11612280,K04304.01,Kepler-1587 b,CONFIRMED,CANDIDATE,0.966,9.4061364,79.5,4.882,1.14,0.0878,981.0,13.2
11444514,K04371.01,Kepler-1596 b,CONFIRMED,CANDIDATE,0.997,66.373298,415.0,8.559,1.99,0.3237,471.0,13.7
9886361,K02732.02,Kepler-403 d,CONFIRMED,CANDIDATE,0.948,13.61165024,95.5,7.617,1.46,0.1211,958.0,31.6
9702006,K04372.01,Kepler-1953 b,CONFIRMED,CANDIDATE,0.977,6.24564633,212.0,2.459,1.06,0.0607,731.0,11.9
