kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_depth,koi_duration,koi_prad,koi_sma,koi_teq,koi_model_snr
7884986,K05438.01,,FALSE POSITIVE,FALSE POSITIVE,,412.227551,819.5,4.303,21.53,1.3762,529.0,9.0
8677186,K05559.01,,FALSE POSITIVE,FALSE POSITIVE,,586.63177,199.9,7.299,1.18,1.2669,189.0,8.4
8678345,K05560.01,,FALSE POSITIVE,FALSE POSITIVE,,364.95068,824.0,0.636,3.69,0.9211,241.0,5.8
8715564,K05562.01,,FALSE POSITIVE,FALSE POSITIVE,,438.00974,79.2,11.46,0.73,0.9936,197.0,8.6
8718273,K05564.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,3.479508244,3000.4,3.9097,444.46,0.0525,3167.0,195.7
8737343,K05565.01,,FALSE POSITIVE,FALSE POSITIVE,,406.29695,136.5,5.32,1.85,1.1202,315.0,10.7
9489348,K05686.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,3.34465934,57.6,10.796,1.17,0.0442,1559.0,24.3
9517242,K05687.01,,FALSE POSITIVE,FALSE POSITIVE,,513.14417,223.8,14.13,1.3,1.2214,208.0,7.9
9543302,K05691.01,,FALSE POSITIVE,FALSE POSITIVE,,13.0366377,154.6,3.184,2.23,0.1102,1047.0,15.4
10799291,K05828.01,,FALSE POSITIVE,FALSE POSITIVE,,270.98477,13883.0,6.718,11761.1,1.0503,594.0,10.7
10817600,K05832.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,2.74703312,152.2,2.655,61.97,0.0486,2917.0,23.1
7885558,K05439.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.864651455,67.7,3.461,0.69,0.0175,1720.0,16.5
7900450,K05441.01,,FALSE POSITIVE,FALSE POSITIVE,1.0,25.4805211,159.0,10.701,1.25,0.1724,659.0,17.7
7900695,K05442.01,,FALSE POSITIVE,FALSE POSITIVE,,512.11636,315.4,9.557,1.47,1.2129,198.0,10.9
7900727,K05443.01,,FALSE POSITIVE,FALSE POSITIVE,,348.61891,689.0,3.567,2.4,0.9721,253.0,5.8
7902719,K05444.01,,FALSE POSITIVE,FALSE POSITIVE,,368.70839,957.0,6.08,2.87,0.9922,267.0,12.2
